txn_id,customer_id,timestamp,amount,channel,rule_score,ml_score,risk_score,risk_band,reasons
TXNa93dbf91-6,CUST00592,2026-06-28 06:32:11,195221.97,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN4864d025-f,CUST00599,2026-06-18 03:28:53,95056.17,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNa82762b4-7,CUST00592,2026-06-25 02:52:35,194504.67,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN794f9276-d,CUST00166,2026-06-17 11:20:05,82246.52,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN7a0ffa86-5,CUST00161,2026-06-20 17:12:13,40822.99,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN7e83e815-9,CUST00141,2026-07-09 15:03:40,109562.48,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNb3932fb8-4,CUST00167,2026-06-28 12:08:08,249156.54,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN5ba62f73-e,CUST00181,2026-06-22 19:20:01,178855.52,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNee265c95-9,CUST00176,2026-06-19 15:40:40,183405.84,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN4fa87a65-0,CUST00176,2026-07-01 20:43:34,85575.43,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN1533fe82-2,CUST00173,2026-06-22 08:05:22,81380.55,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNdecceaea-6,CUST00191,2026-06-17 22:26:42,156095.54,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN517fd316-2,CUST00186,2026-07-08 14:06:03,132718.27,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN70c0a4f6-1,CUST00132,2026-07-03 14:24:26,229525.51,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN6c8f8833-f,CUST00191,2026-06-30 15:59:54,78976.95,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN4bbb2e9a-8,CUST00131,2026-07-04 20:08:36,211913.94,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNafb144b5-6,CUST00190,2026-07-02 06:11:48,228810.39,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNa159bef3-5,CUST00201,2026-07-07 08:42:05,89782.18,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN836392b7-d,CUST00575,2026-06-25 07:48:16,85621.78,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN0a054950-1,CUST00008,2026-06-30 05:40:50,143492.25,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN06a4093b-4,CUST00209,2026-07-08 17:19:16,166112.74,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN90441ec6-5,CUST00209,2026-07-14 09:16:09,246616.18,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNd8bb254c-8,CUST00212,2026-06-17 21:10:46,188777.24,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN725687c2-0,CUST00212,2026-07-06 06:57:06,224491.38,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNf0a30219-c,CUST00219,2026-06-28 21:37:24,200303.88,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '3 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN78ccd788-8,CUST00217,2026-07-11 19:52:52,94946.33,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN8849066e-5,CUST00226,2026-06-22 23:22:18,79969.98,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN888e58e7-0,CUST00227,2026-07-16 07:11:15,231236.22,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN89b3889d-4,CUST00220,2026-07-05 20:30:38,200294.51,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXNa87da2af-3,CUST00228,2026-07-06 02:10:33,111582.39,mobile,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '2 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
TXN917bc866-6,CUST00117,2026-06-20 12:39:33,82732.26,web,100.0,100.0,100.0,Critical,"['Login from an unrecognized device shortly before the transaction', 'Login originated from an unfamiliar / foreign geography', 'New device AND new geography correlated in the same session', '4 failed login attempt(s) just before the transaction', 'Funds sent to a new/unrecognized beneficiary', 'Transaction amount is unusually large for this profile']"
