event_id,customer_id,timestamp,event_type,device_id,ip_country,is_new_device,is_new_geo,failed_login_count
EVT6c3912ef-b,CUST00498,2026-06-16 12:12:53,session_start,DEV71d79665,IN,False,False,0
EVT4b8fb475-e,CUST00388,2026-06-16 12:20:04,otp_request,DEV1d0bc9bd,IN,False,False,0
EVT51beb80e-b,CUST00035,2026-06-16 12:28:22,login,DEV9132b63e,IN,False,False,1
EVTc09c2ebe-8,CUST00234,2026-06-16 12:47:15,device_registration,DEV6a34c854,IN,False,False,0
EVTac95adb1-f,CUST00426,2026-06-16 12:50:19,session_start,DEVaf34cf65,IN,False,False,0
EVT1af026df-3,CUST00500,2026-06-16 12:58:57,password_reset,DEV5e09a9ee,IN,False,False,0
EVTb43c7851-e,CUST00520,2026-06-16 13:00:39,otp_request,DEV1d181ee9,IN,False,False,0
EVT412817eb-2,CUST00236,2026-06-16 13:15:56,login,DEVd5385b0e,IN,False,False,0
EVT9adf4709-a,CUST00072,2026-06-16 13:20:27,login,DEVedcd465e,IN,False,False,0
EVTd86f4bb4-a,CUST00544,2026-06-16 13:35:19,session_start,DEVafd380c4,IN,False,False,0
EVTb8875caf-1,CUST00255,2026-06-16 13:42:12,session_start,DEV56666f9f,IN,False,False,0
EVT6b790d01-3,CUST00131,2026-06-16 13:49:21,login,DEV702cdd20,IN,False,False,0
EVTec86a890-d,CUST00033,2026-06-16 13:58:13,login,DEVce177b4e,IN,False,False,0
EVTf80590f0-0,CUST00275,2026-06-16 14:05:40,otp_request,DEV3e2b6091,IN,False,False,1
EVTca90001c-8,CUST00566,2026-06-16 14:51:02,login,DEV2e709838,IN,False,False,0
EVT7b4e9ecd-d,CUST00232,2026-06-16 14:52:52,session_start,DEV269cd696,IN,False,False,0
EVTb93b17fb-f,CUST00077,2026-06-16 14:59:19,login,DEV1064005c,IN,False,False,0
EVTfa8dae42-b,CUST00062,2026-06-16 15:07:02,login,DEV7d154385,IN,False,False,0
EVT74283491-7,CUST00318,2026-06-16 15:11:24,login,DEVb540b30e,IN,False,False,0
EVT607cbd33-8,CUST00128,2026-06-16 15:16:11,login,DEVbe6826d2,IN,True,False,0
EVTbb0c7919-3,CUST00175,2026-06-16 15:30:47,password_reset,DEV54c63cd8,IN,False,False,0
EVT98e52499-2,CUST00010,2026-06-16 15:46:51,otp_request,DEV6c307511,IN,False,False,1
EVT9691f45d-1,CUST00521,2026-06-16 15:51:12,login,DEV72c22a16,IN,False,False,0
